code,division,division_name,level,title,includes,may_include,alternate_terms,see,see_also,notes,discussion,parent_code,related_codes,chunk_text
33 05 39.41,33,UTILITIES,4,Reinforced Concrete Pipe for Sewers and Culverts,,,,,,,,33 05 39,[],33 05 39.41 — Reinforced Concrete Pipe for Sewers and Culverts
33 05 39.43,33,UTILITIES,4,Perforated Concrete Utility Pipe,,,,,,,,33 05 39,[],33 05 39.43 — Perforated Concrete Utility Pipe
33 05 39.46,33,UTILITIES,4,Reinforced Concrete Elliptical Pipe for Sewers and Culverts,,,,,,,,33 05 39,[],33 05 39.46 — Reinforced Concrete Elliptical Pipe for Sewers and Culverts
33 05 39.49,33,UTILITIES,4,Reinforced Concrete Box Sections for Sewers and Culverts,,,,,,,,33 05 39,[],33 05 39.49 — Reinforced Concrete Box Sections for Sewers and Culverts
33 05 39.63,33,UTILITIES,4,Concrete Pipe Closures,,,,,,,,33 05 39,[],33 05 39.63 — Concrete Pipe Closures
33 05 39.66,33,UTILITIES,4,Concrete Pipe Thrust Restraints,,,,,,,,33 05 39,[],33 05 39.66 — Concrete Pipe Thrust Restraints
33 05 39.69,33,UTILITIES,4,Concrete Pipe Wall Fittings,,,,,,,,33 05 39,[],33 05 39.69 — Concrete Pipe Wall Fittings
33 05 41,33,UTILITIES,3,Vitrified Clay Utility Pipe,,,,,,,,33 05 00,[],33 05 41 — Vitrified Clay Utility Pipe
33 05 43,33,UTILITIES,3,Ceramic Drainage Tile,,,,,,,,33 05 00,[],33 05 43 — Ceramic Drainage Tile
33 05 46,33,UTILITIES,3,Asbestos Cement Utility Pipe,,,,02 82 33 for removal of asbestos cement pipe.,,,,33 05 00,['02 82 33'],33 05 46 — Asbestos Cement Utility Pipe
33 05 61,33,UTILITIES,3,Concrete Manholes,"standard manholes, doghouse manholes, manhole barrels, flat-top sections, cone-top sections, manhole benches, and accessories such as rubber boots and manhole steps.",,,,,,,33 05 00,[],"33 05 61 — Concrete Manholes Includes: standard manholes, doghouse manholes, manhole barrels, flat-top sections, cone-top sections, manhole benches, and accessories such as rubber boots and manhole steps."
33 05 63,33,UTILITIES,3,Concrete Vaults and Chambers,,,,,,,,33 05 00,[],33 05 63 — Concrete Vaults and Chambers
33 05 66,33,UTILITIES,3,Concrete Distribution Chambers,"leech field distribution chambers and leachate distribution or collection chambers, and accessories.",,,,,,,33 05 00,[],"33 05 66 — Concrete Distribution Chambers Includes: leech field distribution chambers and leachate distribution or collection chambers, and accessories."
33 05 69,33,UTILITIES,3,Concrete Trenchways,,,,,,,,33 05 00,[],33 05 69 — Concrete Trenchways
33 05 71,33,UTILITIES,3,Cleanouts,,,,,,,,33 05 00,[],33 05 71 — Cleanouts
33 05 73,33,UTILITIES,3,Polyethylene Manholes,,,,,,,,33 05 00,[],33 05 73 — Polyethylene Manholes
33 05 76,33,UTILITIES,3,Fiberglass Manholes,,,,,,,,33 05 00,[],33 05 76 — Fiberglass Manholes
33 05 77,33,UTILITIES,3,Fiberglass Metering Manholes,"manhole, integral flume for open-channel flow metering or mounting for closed-pipe flow meter installation, and accessories.",,,,,,,33 05 00,[],"33 05 77 — Fiberglass Metering Manholes Includes: manhole, integral flume for open-channel flow metering or mounting for closed-pipe flow meter installation, and accessories."
33 05 81,33,UTILITIES,3,Metallic Castings for Utility Structures,"metal covers for manholes, chambers, and vaults, metallic steps for manholes, and other metallic accessories for buried utility structures.",,,,,,,33 05 00,[],"33 05 81 — Metallic Castings for Utility Structures Includes: metal covers for manholes, chambers, and vaults, metallic steps for manholes, and other metallic accessories for buried utility structures."
33 05 83,33,UTILITIES,3,Non-Metallic Accessories for Utility Structures,"fiberglass covers for manholes, chambers, and vaults, polypropylene steps for manholes, and other non-metallic accessories for buried utility structures.",,,,,,,33 05 00,[],"33 05 83 — Non-Metallic Accessories for Utility Structures Includes: fiberglass covers for manholes, chambers, and vaults, polypropylene steps for manholes, and other non-metallic accessories for buried utility structures."
